name,n,comparisons,CPU Seconds
bubble sort,2000,1999000,0.029431
bubble sort,4000,7998000,0.111555
bubble sort,6000,17997000,0.24468
bubble sort,8000,31996000,0.439005
bubble sort,10000,49995000,0.690133
bubble sort,12000,71994000,0.991002
bubble sort,14000,97993000,1.34804
bubble sort,16000,127992000,1.77021
bubble sort,18000,161991000,2.25592
bubble sort,20000,199990000,2.75849
bubble sort,22000,241989000,3.34198
bubble sort,24000,287988000,3.97584
bubble sort,26000,337987000,4.65914
bubble sort,28000,391986000,5.41205
bubble sort,30000,449985000,6.2016
bubble sort,32000,511984000,7.11122
bubble sort,34000,577983000,8.04695
bubble sort,36000,647982000,8.98512
bubble sort,38000,721981000,9.98363
bubble sort,40000,799980000,11.0445
bubble sort,42000,881979000,12.1924
bubble sort,44000,967978000,13.3819
bubble sort,46000,1057977000,14.6257
bubble sort,48000,1151976000,16.0051
bubble sort,50000,1249975000,17.2906
insertion sort,2000,983494,0.014669
insertion sort,4000,4013475,0.056302
insertion sort,6000,8971994,0.124274
insertion sort,8000,16104424,0.225623
insertion sort,10000,24845368,0.344653
insertion sort,12000,35969301,0.493564
insertion sort,14000,48835110,0.67075
insertion sort,16000,64190404,0.88579
insertion sort,18000,81048859,1.11169
insertion sort,20000,99724527,1.37344
insertion sort,22000,121232969,1.66062
insertion sort,24000,143601811,1.96843
insertion sort,26000,168858327,2.31866
insertion sort,28000,196647259,2.69559
insertion sort,30000,224799409,3.07365
insertion sort,32000,256479923,3.51384
insertion sort,34000,291121887,3.98825
insertion sort,36000,324768462,4.46115
insertion sort,38000,359756155,4.92825
insertion sort,40000,399654296,5.47077
insertion sort,42000,443373455,6.07212
insertion sort,44000,485492563,6.63661
insertion sort,46000,527965558,7.21216
insertion sort,48000,576729954,7.89113
insertion sort,50000,624195056,8.56577
selection sort,2000,1999000,0.012266
selection sort,4000,7998000,0.046685
selection sort,6000,17997000,0.100877
selection sort,8000,31996000,0.176437
selection sort,10000,49995000,0.278897
selection sort,12000,71994000,0.3995
selection sort,14000,97993000,0.547439
selection sort,16000,127992000,0.709345
selection sort,18000,161991000,0.897728
selection sort,20000,199990000,1.11116
selection sort,22000,241989000,1.34678
selection sort,24000,287988000,1.59608
selection sort,26000,337987000,1.8739
selection sort,28000,391986000,2.16773
selection sort,30000,449985000,2.55511
selection sort,32000,511984000,3.01141
selection sort,34000,577983000,3.27841
selection sort,36000,647982000,3.74388
selection sort,38000,721981000,4.17781
selection sort,40000,799980000,4.57752
selection sort,42000,881979000,5.03138
selection sort,44000,967978000,5.45777
selection sort,46000,1057977000,5.97576
selection sort,48000,1151976000,6.58388
selection sort,50000,1249975000,6.94351
shell sort,2000,35951,0.000469
shell sort,4000,88710,0.001029
shell sort,6000,146158,0.001658
shell sort,8000,203687,0.002301
shell sort,10000,263912,0.002959
shell sort,12000,328858,0.003745
shell sort,14000,372004,0.004243
shell sort,16000,515159,0.005097
shell sort,18000,522360,0.005542
shell sort,20000,632943,0.006396
shell sort,22000,664531,0.006938
shell sort,24000,725927,0.007655
shell sort,26000,833475,0.008521
shell sort,28000,893874,0.009024
shell sort,30000,962786,0.009906
shell sort,32000,1181478,0.011623
shell sort,34000,1132824,0.011399
shell sort,36000,1230417,0.012401
shell sort,38000,1265892,0.012993
shell sort,40000,1442884,0.014228
shell sort,42000,1608000,0.015642
shell sort,44000,1475537,0.015458
shell sort,46000,1646576,0.016581
shell sort,48000,1789055,0.017863
shell sort,50000,2003356,0.019432
merge sort,2000,19415,0.001933
merge sort,4000,42861,0.003939
merge sort,6000,67851,0.006316
merge sort,8000,93721,0.008147
merge sort,10000,120445,0.010367
merge sort,12000,147524,0.012067
merge sort,14000,175397,0.014223
merge sort,16000,203194,0.015641
merge sort,18000,231936,0.018307
merge sort,20000,260700,0.020694
merge sort,22000,290174,0.022834
merge sort,24000,319363,0.024583
merge sort,26000,348989,0.026408
merge sort,28000,378682,0.028195
merge sort,30000,408490,0.030048
merge sort,32000,438527,0.031672
