priority queue sort,2000,36406,0.000121
priority queue sort,4000,81030,0.000257
priority queue sort,6000,128852,0.000405
priority queue sort,8000,177973,0.000544
priority queue sort,10000,229436,0.000709
priority queue sort,12000,281609,0.000861
priority queue sort,14000,334557,0.001022
priority queue sort,16000,388084,0.001237
priority queue sort,18000,443054,0.001363
priority queue sort,20000,498877,0.001567
priority queue sort,22000,554726,0.001822
priority queue sort,24000,611251,0.00192
priority queue sort,26000,667646,0.002042
priority queue sort,28000,725238,0.002632
priority queue sort,30000,783184,0.002605
priority queue sort,32000,839947,0.002709
priority queue sort,34000,898800,0.002933
priority queue sort,36000,957461,0.003037
priority queue sort,38000,1018064,0.003094
priority queue sort,40000,1077365,0.003345
priority queue sort,42000,1137933,0.003916
priority queue sort,44000,1197375,0.004134
priority queue sort,46000,1257826,0.00387
priority queue sort,48000,1318982,0.004586
priority queue sort,50000,1380181,0.004531
priority queue sort,2000,36457,0.000121
priority queue sort,4000,80941,0.000257
priority queue sort,6000,128714,0.000405
priority queue sort,8000,178026,0.000546
priority queue sort,10000,229167,0.000709
priority queue sort,12000,281646,0.000868
priority queue sort,14000,334353,0.001092
priority queue sort,16000,387734,0.001352
priority queue sort,18000,443140,0.001455
priority queue sort,20000,498517,0.001566
priority queue sort,22000,554856,0.001744
priority queue sort,24000,611495,0.002425
priority queue sort,26000,668344,0.00214
priority queue sort,28000,725408,0.002316
priority queue sort,30000,782481,0.002622
priority queue sort,32000,840044,0.002752
priority queue sort,34000,898569,0.002869
priority queue sort,36000,958779,0.002848
priority queue sort,38000,1017732,0.003422
priority queue sort,40000,1077299,0.003664
priority queue sort,42000,1137262,0.003888
priority queue sort,44000,1198166,0.003723
priority queue sort,46000,1258389,0.004152
priority queue sort,48000,1318866,0.004802
priority queue sort,50000,1379381,0.003994
