name,n,comparisons,CPU Seconds
bubble sort,2000,1999000,0.028821
bubble sort,4000,7998000,0.107304
bubble sort,6000,17997000,0.240947
bubble sort,8000,31996000,0.421719
bubble sort,10000,49995000,0.660357
bubble sort,12000,71994000,0.987993
bubble sort,14000,97993000,1.29449
bubble sort,16000,127992000,1.69452
bubble sort,18000,161991000,2.13437
bubble sort,20000,199990000,2.6447
bubble sort,22000,241989000,3.19613
bubble sort,24000,287988000,3.80773
bubble sort,26000,337987000,4.47853
bubble sort,28000,391986000,5.19682
bubble sort,30000,449985000,5.94786
bubble sort,32000,511984000,6.7879
bubble sort,34000,577983000,7.65348
bubble sort,36000,647982000,8.59353
bubble sort,38000,721981000,9.57385
bubble sort,40000,799980000,10.6045
bubble sort,42000,881979000,11.6706
bubble sort,44000,967978000,12.8276
bubble sort,46000,1057977000,14.0547
bubble sort,48000,1151976000,15.2724
bubble sort,50000,1249975000,16.619
insertion sort,2000,1008029,0.014866
insertion sort,4000,4014869,0.056168
insertion sort,6000,8980243,0.122296
insertion sort,8000,15978158,0.219964
insertion sort,10000,25115959,0.341632
insertion sort,12000,35943976,0.487344
insertion sort,14000,49066067,0.665791
insertion sort,16000,64575262,0.878219
insertion sort,18000,80784448,1.09339
insertion sort,20000,100245467,1.36154
insertion sort,22000,121232609,1.64738
insertion sort,24000,143985448,1.95386
insertion sort,26000,169840994,2.30472
insertion sort,28000,195318856,2.64895
insertion sort,30000,224872781,3.05507
insertion sort,32000,255985242,3.46871
insertion sort,34000,289074670,3.9248
insertion sort,36000,322219597,4.38473
insertion sort,38000,360676951,4.9047
insertion sort,40000,401241133,5.44457
insertion sort,42000,439962898,5.97588
insertion sort,44000,483598903,6.56165
insertion sort,46000,528576832,7.15867
insertion sort,48000,575992313,7.81743
insertion sort,50000,623089108,8.45007
selection sort,2000,1999000,0.012267
selection sort,4000,7998000,0.045001
selection sort,6000,17997000,0.100352
selection sort,8000,31996000,0.178078
selection sort,10000,49995000,0.28179
selection sort,12000,71994000,0.401301
selection sort,14000,97993000,0.54403
selection sort,16000,127992000,0.709799
selection sort,18000,161991000,0.914234
selection sort,20000,199990000,1.10479
selection sort,22000,241989000,1.34413
selection sort,24000,287988000,1.59789
selection sort,26000,337987000,1.87578
selection sort,28000,391986000,2.17204
selection sort,30000,449985000,2.4924
selection sort,32000,511984000,2.83345
selection sort,34000,577983000,3.20611
selection sort,36000,647982000,3.59925
selection sort,38000,721981000,3.99877
selection sort,40000,799980000,4.43679
selection sort,42000,881979000,4.88829
selection sort,44000,967978000,5.37261
selection sort,46000,1057977000,5.87808
selection sort,48000,1151976000,6.37643
selection sort,50000,1249975000,6.93578
shell sort,2000,36229,0.000433
shell sort,4000,83420,0.000992
shell sort,6000,137695,0.0016
shell sort,8000,206805,0.002357
shell sort,10000,266281,0.002941
shell sort,12000,320455,0.003652
shell sort,14000,398294,0.004373
shell sort,16000,477135,0.005225
shell sort,18000,509593,0.005635
shell sort,20000,630039,0.007204
shell sort,22000,642945,0.006784
shell sort,24000,737624,0.007561
shell sort,26000,825213,0.008425
shell sort,28000,922082,0.009172
shell sort,30000,974143,0.00967
shell sort,32000,1190424,0.011523
shell sort,34000,1152723,0.011628
shell sort,36000,1174424,0.011897
shell sort,38000,1294121,0.012837
shell sort,40000,1392777,0.013921
shell sort,42000,1648015,0.015676
shell sort,44000,1476353,0.015664
shell sort,46000,1572944,0.016034
shell sort,48000,1806502,0.018056
shell sort,50000,1856120,0.018555
merge sort,2000,19441,0.001912
merge sort,4000,42837,0.00403
merge sort,6000,67820,0.006297
merge sort,8000,93684,0.008412
merge sort,10000,120449,0.010248
merge sort,12000,147617,0.011954
merge sort,14000,175196,0.013798
merge sort,16000,203158,0.015494
merge sort,18000,231861,0.01836
merge sort,20000,260835,0.02058
merge sort,22000,290016,0.023072
merge sort,24000,319285,0.02483
merge sort,26000,349080,0.026828
merge sort,28000,378699,0.028549
merge sort,30000,408654,0.030546
merge sort,32000,438440,0.032214
merge sort,34000,469019,0.035205
merge sort,36000,499939,0.040927
merge sort,38000,530833,0.040551
merge sort,40000,561965,0.042759
merge sort,42000,592823,0.044948
merge sort,44000,623951,0.046719
merge sort,46000,655373,0.048984
merge sort,48000,686677,0.05112
merge sort,50000,718275,0.052951
quick sort,2000,26612,0.00032
quick sort,4000,59160,0.000734
quick sort,6000,90906,0.00115
quick sort,8000,144523,0.001718
quick sort,10000,160130,0.001981
quick sort,12000,196764,0.002545
quick sort,14000,238984,0.002943
quick sort,16000,280166,0.003484
quick sort,18000,320580,0.003786
quick sort,20000,360401,0.004192
quick sort,22000,383411,0.004671
quick sort,24000,421051,0.005054
quick sort,26000,450214,0.005778
quick sort,28000,529562,0.006013
quick sort,30000,538864,0.006025
quick sort,32000,584467,0.006658
quick sort,34000,595811,0.006932
quick sort,36000,693410,0.007834
quick sort,38000,710454,0.008027
quick sort,40000,752254,0.008468
quick sort,42000,807876,0.008935
quick sort,44000,860493,0.009136
quick sort,46000,871960,0.010509
quick sort,48000,946278,0.01033
quick sort,50000,983225,0.010791
